"","na.omit(tex)[1:10]"
"72","Natural Hazards and Earth System Sciences"
"73","Earthquake Spectra"
"74","International Journal of Disaster Risk Reduction"
"75","Natural Hazards and Earth System Sciences Discussions"
"76","Disasters"
"77","International Journal of Disaster Risk Science"
"78","Journal of Contingencies and Crisis Management"
"79","Journal of Flood Risk Management"
"80","Geomatics, Natural Hazards and Risk"
"81","Research Policy"
"82","Entrepreneurship Theory and Practice"
"83","Journal of Business Venturing"
"84","Small Business Economics"
"85","Journal of Product Innovation Management"
"86","International Small Business Journal"
"87","Technovation"
"88","Journal of Small Business Management"
"89","The Journal of Technology Transfer"
"90","Journal of Intellectual Capital"
"91","Journal of Financial Economics"
"92","The Journal of Finance"
"93","The Review of Financial Studies"
"94","Journal of Banking & Finance"
"95","Journal of Accounting and Economics"
"96","Journal of Financial and Quantitative Analysis"
"97","Journal of International Money and Finance"
"98","Review of Finance"
"99","Journal of Corporate Finance"
"100","Review of Accounting Studies"
"101","Journal of Economic Behavior & Organization"
"102","Organizational Behavior and Human Decision Processes"
"103","ACM Conference on Electronic Commerce"
"104","Theoretical Economics"
"105","Games and Economic Behavior"
"106","Experimental Economics"
"107","Journal of Behavioral Decision Making"
"108","Group Decision and Negotiation"
"109","Social Choice and Welfare"
"110","Journal of Artificial Societies & Social Simulation"
"111","Journal of Management"
"112","Academy of Management Journal"
"113","International Journal of Project Management"
"114","Academy of Management Review"
"115","Organization Science"
"116","Journal of Organizational Behavior"
"117","The Leadership Quarterly"
"118","Journal of Management Studies"
"119","Journal of Labor Economics"
"120","The International Journal of Human Resource Management"
"121","Journal of International Business Studies"
"122","The International Journal of Human Resource Management"
"123","Journal of World Business"
"124","International Business Review"
"125","International Review of Financial Analysis"
"126","Journal of International Financial Markets, Institutions and Money"
"127","Asia Pacific Journal of Management"
"128","Journal of International Management"
"129","Journal of International Marketing"
"130","Emerging Markets Review"
"131","Journal of Business Research"
"132","Journal of Marketing"
"133","Journal of Consumer Research"
"134","Industrial Marketing Management"
"135","Journal of Marketing Research"
"136","Journal of the Academy of Marketing Science"
"137","Journal of Retailing and Consumer Services"
"138","Journal of Consumer Psychology"
"139","European Journal of Marketing"
"140","Journal of Retailing"
"141","Journal of Business Research"
"142","Journal of Management"
"143","Academy of Management Journal"
"144","Management Science"
"145","Strategic Management Journal"
"146","Entrepreneurship Theory and Practice"
"147","Technological Forecasting and Social Change"
"148","Journal of Business Venturing"
"149","Harvard Business Review"
"150","Industrial Marketing Management"
"151","Tourism Management"
"152","International Journal of Hospitality Management"
"153","Annals of Tourism Research"
"154","Journal of Travel Research"
"155","Journal of Sustainable Tourism"
"156","International Journal of Contemporary Hospitality Management"
"157","International Journal of Tourism Research"
"158","Current Issues in Tourism"
"159","Journal of Hospitality & Tourism Research"
"160","Tourism Geographies"
"161","Analytical Chemistry"
"162","Biosensors and Bioelectronics"
"163","Lab on a Chip"
"164","Sensors and Actuators B: Chemical"
"165","TrAC Trends in Analytical Chemistry"
"166","Analytica Chimica Acta"
"167","Journal of Chromatography A"
"168","Molecular & Cellular Proteomics"
"169","The Analyst"
"170","Talanta"
"171","Nucleic Acids Research"
"172","Molecular Cell"
"173","Journal of Biological Chemistry"
"174","Nature Chemical Biology"
"175","Nature Structural & Molecular Biology"
"176","The EMBO Journal"
"177","Antioxidants & Redox Signaling"
"178","Free Radical Biology and Medicine"
"179","Biochimica et Biophysica Acta (BBA)-Molecular Cell Research"
"180","Biochimica et Biophysica Acta (BBA)-General Subjects"
"181","Ceramics International"
"182","Journal of the American Ceramic Society"
"183","Journal of the European Ceramic Society"
"184","International Journal of Refractory Metals and Hard Materials"
"185","International Journal of Applied Ceramic Technology"
"186","Journal of Asian Ceramic Societies"
"187","International Journal of Applied Glass Science"
"188","Advances in Applied Ceramics"
"189","Journal of Electroceramics"
"190","Journal of Advanced Ceramics"
"191","Chemical Society reviews"
"192","Chemical Reviews"
"193","Journal of the American Chemical Society"
"194","Angewandte Chemie International Edition"
"195","Accounts of Chemical Research"
"196","Chemical communications (Cambridge, England)"
"197","The Journal of Physical Chemistry Letters"
"198","Nature Chemistry"
"199","Chemical Science"
"200","Physical chemistry chemical physics: PCCP"
"201","ACS Catalysis"
"202","Applied Catalysis B: Environmental"
"203","Green Chemistry"
"204","ChemSusChem"
"205","Journal of Catalysis"
"206","Catalysis Science & Technology"
"207","Advanced Synthesis & Catalysis"
"208","ChemCatChem"
"209","Catalysis Today"
"210","Applied Catalysis A: General"
"211","Combustion and Flame"
"212","Proceedings of the Combustion Institute"
"213","Progress in Energy and Combustion Science"
"214","SAE International Journal of Engines"
"215","Journal of Turbomachinery"
"216","Journal of Engineering for Gas Turbines and Power"
"217","Fire Safety Journal"
"218","Journal of Propulsion and Power"
"219","Propellants, Explosives, Pyrotechnics"
"220","International Journal of Engine Research"
"221","Composites Part B: Engineering"
"222","Composite Structures"
"223","Composites Part A: Applied Science and Manufacturing"
"224","Composites Science and Technology"
"225","Journal of Composites for Construction"
"226","International Journal of Adhesion and Adhesives"
"227","Journal of Composite Materials"
"228","Express Polymer Letters"
"229","Polymer Composites"
"230","Journal of Reinforced Plastics and Composites"
"231","CrystEngComm"
"232","Crystal Growth & Design"
"233","Journal of Applied Crystallography"
"234","Acta Crystallographica Section D: Biological Crystallography"
"235","Journal of Molecular Structure"
"236","Polyhedron"
"237","International Union of Crystallography Journal"
"238","Inorganic Chemistry Communications"
"239","Liquid Crystals"
"240","Journal of Inorganic and General Chemistry"
"241","Langmuir"
"242","Colloids and Surfaces B: Biointerfaces"
"243","Soft Matter"
"244","Journal of Colloid and Interface Science"
"245","Food Hydrocolloids"
"246","Advances in Colloid and Interface Science"
"247","Microporous and Mesoporous Materials"
"248","Colloids and Surfaces A: Physicochemical and Engineering Aspects"
"249","Applied Clay Science"
"250","Journal of Nanoparticle Research"
"251","Journal of Power Sources"
"252","Electrochimica Acta"
"253","Journal of The Electrochemical Society"
"254","Electrochemistry Communications"
"255","ChemElectroChem"
"256","International Journal of Electrochemical Science"
"257","Journal of Electroanalytical Chemistry"
"258","Electroanalysis"
"259","ECS Journal of Solid State Science and Technology"
"260","Journal of Solid State Electrochemistry"
"261","Coordination Chemistry Reviews"
"262","Inorganic Chemistry"
"263","Dalton Transactions (Cambridge, England)"
"264","Organometallics"
"265","Journal of Inorganic Biochemistry"
"266","Journal of Organometallic Chemistry"
"267","European Journal of Inorganic Chemistry"
"268","Polyhedron"
"269","Inorganic Chemistry Frontiers"
"270","Inorganica Chimica Acta"
"271","Advanced Materials"
"272","ACS Nano"
"273","Energy and Environmental Science"
"274","Nano Letters"
"275","Nature Materials"
"276","Journal of Materials Chemistry. A"
"277","Advanced Functional Materials"
"278","Nanoscale"
"279","ACS Applied Materials & Interfaces"
"280","Advanced Energy Materials"
"281","Journal of Medicinal Chemistry"
"282","Drug Discovery Today"
"283","European Journal of Medicinal Chemistry"
"284","Natural Product Reports"
"285","Current Medicinal Chemistry"
"286","Bioorganic & Medicinal Chemistry Letters"
"287","Bioorganic & Medicinal Chemistry"
"288","Medicinal Research Reviews"
"289","Current Topics in Medicinal Chemistry"
"290","Journal of Enzyme Inhibition and Medicinal Chemistry"
"291","Journal of Chemical Theory and Computation"
"292","Journal of Chemical Information and Modeling"
"293","Journal of Computational Chemistry"
"294","Wiley Interdisciplinary Reviews: Computational Molecular Science"
"295","International Journal of Quantum Chemistry"
"296","Journal of Molecular Modeling"
"297","Match-Communications in Mathematical and in Computer Chemistry"
"298","Journal of Cheminformatics"
"299","Journal of Computer-Aided Molecular Design"
"300","Computational and Theoretical Chemistry"
"301","ACS Nano"
"302","Nano Letters"
"303","Nature Nanotechnology"
"304","Nanoscale"
"305","ACS Applied Materials & Interfaces"
"306","The Journal of Physical Chemistry C"
"307","Small"
"308","Nano Energy"
"309","Journal of Materials Chemistry B"
"310","Nano Research"
"311","Marine and Petroleum Geology"
"312","Journal of Petroleum Science and Engineering"
"313","SPE Journal"
"314","Journal of Natural Gas Science and Engineering"
"315","Petroleum Exploration and Development"
"316","American Association of Petroleum Geologists Bulletin"
"317","SPE Reservoir Evaluation & Engineering"
"318","Oil & Gas Science and Technology–Revue d’IFP Energies nouvelles"
"319","Egyptian Journal of Petroleum"
"320","Journal of Unconventional Oil and Gas Resources"
"321","Green Chemistry"
"322","Organic Letters"
"323","Molecules"
"324","The Journal of Organic Chemistry"
"325","Advanced Synthesis & Catalysis"
"326","ChemCatChem"
"327","Organic & Biomolecular Chemistry"
"328","Organometallics"
"329","Journal of Molecular Catalysis A: Chemical"
"330","Tetrahedron Letters"
"331","Progress in Polymer Science"
"332","Carbohydrate Polymers"
"333","Macromolecules"
"334","Polymer Chemistry"
"335","Biomacromolecules"
"336","Polymer"
"337","ACS Macro Letters"
"338","Composites Part A: Applied Science and Manufacturing"
"339","European Polymer Journal"
"340","Journal of Applied Polymer Science"
"341","Lighting Research & Technology"
"342","Buildings"
"343","Frontiers of Architectural Research"
"344","Architectural Engineering and Design Management"
"345","Architectural Science Review"
"346","Advances in Building Energy Research"
"347","Architectural Design"
"348","Structural Survey"
"349","International Journal of Architectural Research: ArchNet-IJAR"
"350","Journal of Architectural Engineering"
"351","Neural Information Processing Systems (NIPS)"
"352","International Conference on Machine Learning (ICML)"
"353","Expert Systems with Applications"
"354","IEEE Transactions On Systems, Man And Cybernetics Part B, Cybernetics"
"355","IEEE Transactions on Neural Networks and Learning Systems"
"356","The Journal of Machine Learning Research"
"357","Applied Soft Computing"
"358","IEEE Transactions on Fuzzy Systems"
"359","Knowledge-Based Systems"
"360","Neurocomputing"
"361","Automatica"
"362","IEEE Transactions on Automatic Control"
"363","IEEE Transactions on Fuzzy Systems"
"364","IEEE Transactions on Control Systems Technology"
"365","IEEE Transactions on Systems, Man, and Cybernetics: Systems"
"366","International Journal of Robust and Nonlinear Control"
"367","IET Control Theory & Applications"
"368","ISA Transactions"
"369","American Control Conference"
"370","IEEE Conference on Decision and Control"
"371","Journal of Guidance, Control, and Dynamics"
"372","Acta Astronautica"
"373","Aerospace Science and Technology"
"374","AIAA Journal"
"375","Journal of Turbomachinery"
"376","Progress in Aerospace Sciences"
"377","Turbine Technical Conference and Exposition ASME Turbo Expo"
"378","International Conference on Unmanned Aircraft Systems"
"379","Chinese Journal of Aeronautics"
"380","Journal of Aircraft"
"381","Bioinformatics"
"382","PLOS Computational Biology"
"383","BMC Bioinformatics"
"384","Briefings in Bioinformatics"
"385","Database: The Journal of Biological Databases & Curation"
"386","Journal of Theoretical Biology"
"387","BMC Systems Biology"
"388","GigaScience"
"389","IEEE/ACM Transactions on Computational Biology and Bioinformatics"
"390","Genomics, Proteomics & Bioinformatics"
"391","Biomaterials"
"392","Acta Biomaterialia"
"393","IEEE Transactions on Biomedical Engineering"
"394","Journal of Biomedical Materials Research Part A"
"395","Journal of the Mechanical Behavior of Biomedical Materials"
"396","Journal of Neural Engineering"
"397","Annals of Biomedical Engineering"
"398","Tissue Engineering Part A"
"399","Biofabrication"
"400","Tissue Engineering Part B: Reviews"
"401","Nature Biotechnology"
"402","Bioresource Technology"
"403","Biotechnology Advances"
"404","Current Opinion in Biotechnology"
"405","Trends in Biotechnology"
"406","Applied Microbiology and Biotechnology"
"407","Biotechnology for Biofuels"
"408","Metabolic Engineering"
"409","Biomass and Bioenergy"
"410","Biotechnology and Bioengineering"
"411","Ceramics International"
"412","Journal of the American Ceramic Society"
"413","Journal of the European Ceramic Society"
"414","International Journal of Refractory Metals and Hard Materials"
"415","International Journal of Applied Ceramic Technology"
"416","Journal of Asian Ceramic Societies"
"417","International Journal of Applied Glass Science"
"418","Advances in Applied Ceramics"
"419","Journal of Electroceramics"
"420","Journal of Advanced Ceramics"
"421","Construction and Building Materials"
"422","Automation in Construction"
"423","Cement and Concrete Composites"
"424","Cement and Concrete Research"
"425","Engineering Structures"
"426","Earthquake Engineering & Structural Dynamics"
"427","Computer-Aided Civil and Infrastructure Engineering"
"428","Materials and Structures"
"429","Journal of Construction Engineering and Management"
"430","Journal of Structural Engineering"
"431","Combustion and Flame"
"432","Proceedings of the Combustion Institute"
"433","Progress in Energy and Combustion Science"
"434","SAE International Journal of Engines"
"435","Journal of Turbomachinery"
"436","Journal of Engineering for Gas Turbines and Power"
"437","Fire Safety Journal"
"438","Journal of Propulsion and Power"
"439","Propellants, Explosives, Pyrotechnics"
"440","International Journal of Engine Research"
"441","Meeting of the Association for Computational Linguistics (ACL)"
"442","Conference on Empirical Methods in Natural Language Processing (EMNLP)"
"443","Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (HLT-NAACL)"
"444","International Workshop on Semantic Evaluation"
"445","Transactions of the Association for Computational Linguistics"
"446","International Conference on Language Resources and Evaluation (LREC)"
"447","Computer Speech & Language"
"448","Computational Linguistics"
"449","International Conference on Computational Linguistics (COLING)"
"450","Conference of the European Chapter of the Association for Computational Linguistics (EACL)"
"451","ACM Transactions on Graphics (TOG)"
"452","IEEE Transactions on Visualization and Computer Graphics"
"453","Computer Graphics Forum"
"454","Computers & Graphics"
"455","The Visual Computer"
"456","IEEE Computer Graphics and Applications"
"457","ACM SIGGRAPH/Eurographics Symposium on Computer Animation"
"458","IEEE Pacific Visualization Symposium"
"459","Computer Aided Geometric Design"
"460","Graphical Models"
"461","IEEE Journal of Solid-State Circuits"
"462","IEEE Transactions on Computers"
"463","IEEE International Solid-State Circuits Conference"
"464","IEEE Transactions on Circuits and Systems I: Regular Papers"
"465","Design Automation Conference (DAC)"
"466","IEEE Transactions on Very Large Scale Integration (VLSI) Systems"
"467","Design, Automation and Test in Europe Conference and Exhibition (DATE)"
"468","IEEE/ACM International Symposium on Microarchitecture"
"469","International Conference on Computer Aided Verification (CAV)"
"470","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"
"471","IEEE Communications Surveys & Tutorials"
"472","IEEE Communications Magazine"
"473","IEEE Transactions on Wireless Communications"
"474","IEEE Journal on Selected Areas in Communications"
"475","IEEE Transactions on Communications"
"476","IEEE Transactions on Vehicular Technology"
"477","IEEE International Conference on Computer Communications (INFOCOM)"
"478","IEEE Wireless Communications"
"479","ACM SIGCOMM Conference"
"480","IEEE Transactions on Mobile Computing"
"481","ACM Symposium on Computer and Communications Security"
"482","IEEE Symposium on Security and Privacy"
"483","IEEE Transactions on Information Forensics and Security"
"484","USENIX Security Symposium"
"485","International Cryptology Conference (CRYPTO)"
"486","Network and Distributed System Security Symposium (NDSS)"
"487","International Conference on Theory and Applications of Cryptographic Techniques (EUROCRYPT)"
"488","Computers & Security"
"489","IEEE Transactions on Dependable and Secure Computing"
"490","International Conference on Financial Cryptography and Data Security"
"491","IEEE Conference on Computer Vision and Pattern Recognition, CVPR"
"492","IEEE International Conference on Computer Vision"
"493","IEEE Transactions on Pattern Analysis and Machine Intelligence"
"494","European Conference on Computer Vision"
"495","IEEE Transactions on Image Processing"
"496","Pattern Recognition"
"497","International Journal of Computer Vision"
"498","Medical Image Analysis"
"499","Pattern Recognition Letters"
"500","IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops"
"501","IEEE Transactions on Parallel and Distributed Systems"
"502","Future Generation Computer Systems"
"503","USENIX Conference on Networked Systems Design and Implementation"
"504","International Symposium on Computer Architecture (ISCA)"
"505","International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS)"
"506","IEEE International Symposium on High Performance Computer Architecture"
"507","IEEE Internet of Things Journal"
"508","IEEE Transactions on Cloud Computing"
"509","IEEE International Symposium on Parallel & Distributed Processing"
"510","IEEE Transactions on Services Computing"
"511","ACM SIGKDD International Conference on Knowledge Discovery and Data Mining"
"512","IEEE Transactions on Knowledge and Data Engineering"
"513","ACM International Conference on Web Search and Data Mining"
"514","International Conference on Artificial Intelligence and Statistics"
"515","ACM Transactions on Intelligent Systems and Technology (TIST)"
"516","ACM Conference on Recommender Systems"
"517","Knowledge and Information Systems"
"518","International Conference on Data Mining"
"519","Data Mining and Knowledge Discovery"
"520","IEEE International Conference on Big Data"
"521","IEEE Transactions on Knowledge and Data Engineering"
"522","International World Wide Web Conferences (WWW)"
"523","International Conference on Very Large Databases"
"524","ACM SIGMOD International Conference on Management of Data"
"525","ACM International Conference on Web Search and Data Mining"
"526","International Conference on Web and Social Media (ICWSM)"
"527","International Conference on Data Engineering"
"528","ACM SIGIR Conference on Research and Development in Information Retrieval"
"529","ACM International Conference on Information and Knowledge Management"
"530","ACM Transactions on Intelligent Systems and Technology (TIST)"
"531","Computers & Education"
"532","British Journal of Educational Technology"
"533","The International Review of Research in Open and Distributed Learning"
"534","The Internet and Higher Education"
"535","Journal of Educational Technology & Society"
"536","Journal of Computer Assisted Learning"
"537","International Conference on Learning Analytics And Knowledge"
"538","Educational Technology Research and Development"
"539","TechTrends"
"540","Language Learning & Technology"
"541","IEEE Transactions on Industrial Electronics"
"542","Chemical engineering journal"
"543","Information Sciences"
"544","Fuel"
"545","IEEE Transactions on Industrial Informatics"
"546","Sensors"
"547","Management Information Systems Quarterly"
"548","Proceedings of the IEEE"
"549","ACM Computing Surveys (CSUR)"
"550","Computer Physics Communications"
"551","Waste Management"
"552","International Journal of Greenhouse Gas Control"
"553","Journal of Environmental Chemical Engineering"
"554","Engineering Geology"
"555","Journal of Geotechnical and Geoenvironmental Engineering"
"556","Rock Mechanics and Rock Engineering"
"557","Computers and Geotechnics"
"558","Géotechnique"
"559","Tunnelling and Underground Space Technology"
"560","Process Safety and Environmental Protection"
"561","Applied Soft Computing"
"562","IEEE Congress on Evolutionary Computation"
"563","Soft Computing"
"564","Conference on Genetic and Evolutionary Computation"
"565","Swarm and Evolutionary Computation"
"566","Evolutionary Computation"
"567","International Journal of Bio-Inspired Computation"
"568","Evolutionary Multi-Criterion Optimization"
"569","Natural Computing"
"570","Memetic Computing"
"571","Food Chemistry"
"572","Food Research International"
"573","Food Control"
"574","Journal of Agricultural and Food Chemistry"
"575","Food Hydrocolloids"
"576","Trends in Food Science & Technology"
"577","Journal of Food Engineering"
"578","LWT-Food Science and Technology"
"579","Critical Reviews in Food Science and Nutrition"
"580","Meat Science"
"581","Applied Soft Computing"
"582","IEEE Transactions on Fuzzy Systems"
"583","Knowledge-Based Systems"
"584","Fuzzy Sets and Systems"
"585","Journal of Intelligent & Fuzzy Systems"
"586","Soft Computing"
"587","International Journal of Approximate Reasoning"
"588","Neutrosophic Sets & Systems"
"589","International Journal of General Systems"
"590","Fuzzy Optimization and Decision Making"
"591","Journal of Economic Behavior & Organization"
"592","Organizational Behavior and Human Decision Processes"
"593","ACM Conference on Electronic Commerce"
"594","Theoretical Economics"
"595","Games and Economic Behavior"
"596","Experimental Economics"
"597","Journal of Behavioral Decision Making"
"598","Group Decision and Negotiation"
"599","Social Choice and Welfare"
"600","Journal of Artificial Societies & Social Simulation"
"601","Computer Human Interaction (CHI)"
"602","ACM Conference on Computer-Supported Cooperative Work & Social Computing"
"603","ACM Conference on Pervasive and Ubiquitous Computing (UbiComp)"
"604","ACM Symposium on User Interface Software and Technology"
"605","IEEE Transactions on Affective Computing"
"606","International Journal of Human-Computer Studies"
"607","ACM Transactions on Computer-Human Interaction (TOCHI)"
"608","ACM/IEEE International Conference on Human Robot Interaction"
"609","Behaviour & Information Technology"
"610","IEEE Transactions on Human-Machine Systems"
"611","IEEE Transactions on Information Theory"
"612","IEEE International Symposium on Information Theory"
"613","Allerton Conference on Communication, Control, and Computing"
"614","Designs, Codes and Cryptography"
"615","Information Theory and Applications Workshop"
"616","Conference on Information Sciences and Systems"
"617","IEEE Information Theory Workshop"
"618","Physical Communication"
"619","Data Compression Conference, DCC"
"620","Cryptography and Communications"
"621","Journal of the Association for Information Science and Technology"
"622","Scientometrics"
"623","Journal of Informetrics"
"624","The Journal of Academic Librarianship"
"625","Online Information Review"
"626","Journal of Information Science"
"627","College & Research Libraries"
"628","Journal of Documentation"
"629","Library Hi Tech"
"630","Library & Information Science Research"
"631","The International Journal of Advanced Manufacturing Technology"
"632","International Journal of Production Research"
"633","Computers & Industrial Engineering"
"634","Procedia CIRP"
"635","International Journal of Machine Tools and Manufacture"
"636","CIRP Annals"
"637","Computers in Industry"
"638","Journal of Intelligent Manufacturing"
"639","Robotics and Computer-Integrated Manufacturing"
"640","Journal of Manufacturing Systems"
"641","Advanced Materials"
"642","ACS Nano"
"643","Energy and Environmental Science"
"644","Nano Letters"
"645","Nature Materials"
"646","Journal of Materials Chemistry. A"
"647","Advanced Functional Materials"
"648","Nanoscale"
"649","ACS Applied Materials & Interfaces"
"650","Advanced Energy Materials"
"651","Composite Structures"
"652","Journal of the Mechanics and Physics of Solids"
"653","International Journal of Engineering Science"
"654","Wear"
"655","International Journal of Mechanical Sciences"
"656","Tribology International"
"657","International Journal of Solids and Structures"
"658","Mechanism and Machine Theory"
"659","Engineering Failure Analysis"
"660","Journal of Mechanical Design"
"661","Journal of Medical Internet Research"
"662","Journal of the American Medical Informatics Association"
"663","Journal of Biomedical Informatics"
"664","International Journal of Medical Informatics"
"665","Journal of Medical Systems"
"666","Journal of Medical Internet Research - Mobile Health and Ubiquitous Health"
"667","BMC Medical Informatics and Decision Making"
"668","Telemedicine and e-Health"
"669","Artificial Intelligence in Medicine"
"670","Journal of Telemedicine and Telecare"
"671","Materials Science and Engineering: A"
"672","Metallurgical and Materials Transactions A"
"673","Intermetallics"
"674","Materials Characterization"
"675","International Journal of Refractory Metals and Hard Materials"
"676","Transactions of Nonferrous Metals Society of China"
"677","Materials Science and Technology"
"678","Metallurgical and Materials Transactions B"
"679","Journal of Materials Engineering and Performance"
"680","ISIJ International"
"681","IEEE Transactions on Electron Devices"
"682","IEEE Electron Device Letters"
"683","IEEE International Electron Devices Meeting, IEDM"
"684","Electronics Letters"
"685","Microelectronic Engineering"
"686","Microelectronics Reliability"
"687","IEEE Transactions on Components, Packaging and Manufacturing Technology"
"688","Solid-State Electronics"
"689","IEEE/MTT-S International Microwave Symposium"
"690","IEEE Symposium on VLSI Technology"
"691","International Journal of Rock Mechanics and Mining Sciences"
"692","Rock Mechanics and Rock Engineering"
"693","Hydrometallurgy"
"694","Minerals Engineering"
"695","Geophysical Prospecting"
"696","Journal of Rock Mechanics and Geotechnical Engineering"
"697","International Journal of Mineral Processing"
"698","International Journal of Mining Science and Technology"
"699","Geotechnical and Geological Engineering"
"700","Journal of China Coal Society"
"701","Journal of Chemical Theory and Computation"
"702","Journal of Chemical Information and Modeling"
"703","Journal of Computational Chemistry"
"704","Wiley Interdisciplinary Reviews: Computational Molecular Science"
"705","International Journal of Quantum Chemistry"
"706","Journal of Molecular Modeling"
"707","Match-Communications in Mathematical and in Computer Chemistry"
"708","Journal of Cheminformatics"
"709","Journal of Computer-Aided Molecular Design"
"710","Computational and Theoretical Chemistry"
"711","IEEE Transactions on Multimedia"
"712","IEEE Transactions on Circuits and Systems for Video Technology"
"713","ACM International Conference on Multimedia"
"714","Multimedia Tools and Applications"
"715","Journal of Visual Communication and Image Representation"
"716","IEEE International Conference on Image Processing (ICIP)"
"717","Signal Processing: Image Communication"
"718","ACM International Conference on Multimedia Retrieval"
"719","ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)"
"720","International Society for Music Information Retrieval Conference"
"721","ACS Nano"
"722","Nano Letters"
"723","Nature Nanotechnology"
"724","Nanoscale"
"725","ACS Applied Materials & Interfaces"
"726","The Journal of Physical Chemistry C"
"727","Small"
"728","Nano Energy"
"729","Journal of Materials Chemistry B"
"730","Nano Research"
"731","Coastal Engineering"
"732","Ocean Engineering"
"733","IEEE Journal of Oceanic Engineering"
"734","Journal of Coastal Research"
"735","Applied Ocean Research"
"736","International Conference on Ocean, Offshore and Arctic Engineering"
"737","Marine Structures"
"738","Journal of Offshore Mechanics and Arctic Engineering"
"739","Journal of Waterway, Port, Coastal, and Ocean Engineering"
"740","International Journal of Marine Energy"
"741","Marine and Petroleum Geology"
"742","Journal of Petroleum Science and Engineering"
"743","SPE Journal"
"744","Journal of Natural Gas Science and Engineering"
"745","Petroleum Exploration and Development"
"746","American Association of Petroleum Geologists Bulletin"
"747","SPE Reservoir Evaluation & Engineering"
"748","Oil & Gas Science and Technology–Revue d’IFP Energies nouvelles"
"749","Egyptian Journal of Petroleum"
"750","Journal of Unconventional Oil and Gas Resources"
"751","European Journal of Operational Research"
"752","International Journal of Production Economics"
"753","Computers & Operations Research"
"754","International Journal of Production Research"
"755","Computers & Industrial Engineering"
"756","Mathematical Programming"
"757","Journal of Operations Management"
"758","Transportation Research Part E: Logistics and Transportation Review"
"759","Operations Research"
"760","Production and Operations Management"
"761","Nuclear Fusion"
"762","Physics of Plasmas"
"763","Plasma Sources Science and Technology"
"764","Plasma Physics and Controlled Fusion"
"765","Fusion Engineering and Design"
"766","IEEE Transactions on Plasma Science"
"767","Plasma Chemistry and Plasma Processing"
"768","High Energy Density Physics"
"769","Fusion Science and Technology"
"770","Contributions to Plasma Physics"
"771","IEEE Transactions on Power Electronics"
"772","IEEE Transactions on Power Systems"
"773","IEEE Transactions on Smart Grids"
"774","International Journal of Electrical Power & Energy Systems"
"775","IEEE Transactions on Power Delivery"
"776","IEEE Power and Energy Society General Meeting"
"777","IEEE Transactions on Sustainable Energy"
"778","IEEE Transactions on Energy Conversion"
"779","IEEE Journal of Emerging and Selected Topics in Power Electronics"
"780","Electric Power Systems Research"
"781","Reliability engineering & systems safety"
"782","Safety Science"
"783","Risk Analysis"
"784","IEEE Transactions on Reliability"
"785","Total Quality Management & Business Excellence"
"786","Structural Safety"
"787","Quality and Reliability Engineering International"
"788","International Journal of Quality & Reliability Management"
"789","International Symposium on Software Reliability Engineering"
"790","Journal of Risk Research"
